,9033196,0
0,_Andys_batman_,0
1,_anonymousb,0
2,_dailytroubles,0
3,_dontfixmyheart,0
4,_EKBVGeho,0
5,_GMJPNyambe,0
6,_GNMYMast,0
7,_HDVGCravatt,0
8,_HUBLBamgbose,0
9,_illbegonesoon_,0
10,_ISPYEken,0
11,_LDJJShaub,0
12,_lonelyyteen,0
13,_LVZJDerain,0
14,_nxrryfeels,0
15,_secretsuicide,0
16,_SocialAnxiety,0
17,_Staying_Str0ng,0
18,_SurvivorStrong,0
19,_TANQNabas,0
20,_UneSuicidaire_,0
21,_UVHUStor,0
22,_VWLCSingi,0
23,_WUXOKalupahana,0
24,200panes,0
25,acid_em0tions,0
26,acrlasr,0
27,Adenakzdlt,0
28,adisgoindown,0
29,advicewillhelp,0
30,afteranxiety,0
31,akua_anorexia,0
32,Allinmyhead14,0
33,allisonluce,0
34,alohomoraafi,0
35,ALoneWolfsHowl,0
36,Amalderbali1,0
37,AmaliaHallieWo4,0
38,AmberCanbek,0
39,ana_newfriend,0
40,anabemyguide,0
41,anaisasaviour,0
42,anarulesmylife,0
43,Anasballerina25,0
44,AnasSingingGirl,0
45,AnaWannabe4Lyf,0
46,AngelsOfAnxiety,0
47,Annabelle30216,0
48,annasaveme1,0
49,anonfriendforu,0
50,AnxietiesSociet,0
51,anxietychild1,0
52,anxietyfriend,0
53,Anxious_Andy,0
54,Anxminds,0
55,anyonehelps,0
56,arcticxmoons,0
57,ArmsAroundMee,0
58,ASabretooth,0
59,asaddarkness,0
60,AsanthaJoyKR6H,0
61,atbpsupport,0
62,AuroreLisetteky,0
63,AveryGuesswhoAR,0
64,aydahajayed,0
65,b0rnt0bereal,0
66,babeziamgirl,0
67,babydontcut01,0
68,BabyGangstaG,0
69,BalbinoRaelene0,0
70,BANIELFTLARRY,0
71,BebraveHope,0
72,BeCeanTogether,0
73,BeejLexiek0NZ,0
74,bellatastixx101,0
75,BeMyHero___,0
76,BetterWebseries,0
77,BeyondMirrorDoc,0
78,Bipolar4Jesus,0
79,bipolarbearskai,0
80,Blablana7,0
81,Blackbirdie5621,0
82,bloody_blades14,0
83,blurryzjms,0
84,bndlads,0
85,bob2960,0
86,boneslikeblades,0
87,borntodied,0
88,boy_H_nasri,0
89,bpkitten,0
90,BrandaTahri8QBl,0
91,BridgetRupcickM,0
92,Brooke0837,0
93,BrunildaRacquel,0
94,BrutoDante,0
95,butterknuckIes,0
96,calumsowner,0
97,canarywidow,0
98,cartarreynolds,0
99,CBT_Logger,0
100,cd_hensley,0
101,CelestinaKelzVk,0
102,Chantel_790,0
103,chezazt2250,0
104,ChinUpSoldier,0
105,ChristalDigma51,0
106,ChuahDenishancc,0
107,chunkyfatgirl,0
108,Clara_Milam,0
109,CLIFFORDURA,0
110,cobainnca8839,0
111,Col34Collins,0
112,Contessa942,0
113,cornedavelaar,0
114,craicaluumm,0
115,crazyfxck,0
116,crysaiko,0
117,cuddleghost,0
118,curseyoufood,0
119,cutestlovatos,0
120,CutForHappiness,0
121,cutsandcries1,0
122,cutscutcuts,0
123,cutter_to_death,0
124,cutter78561761,0
125,cuttersuicidal_,0
126,cutz_forever,0
127,cyxrs,0
128,daddysbabyqirl,0
129,daniellemroque,0
130,danswonderland,0
131,darenrayner997,0
132,ddb0344ht84q,0
133,Dead66Livia,0
134,deadtoeveryone_,0
135,Death_rose69,0
136,deathkissxs,0
137,DebiAnitaavTf,0
138,deliriIouis,0
139,DemisDove,0
140,DenineJose8fgX,0
141,deppresed_mess,0
142,dEPR3SSEDteens,0
143,depressed_456,0
144,depressed_so_di,0
145,depressedflaws,0
146,depressedmmx,0
147,depressedteen15,0
148,Depressef,0
149,depression_2001,0
150,depression_v,0
151,Depression728,0
152,depressionfree_,0
153,depressionhacks,0
154,DepressionStats,0
155,depressivelilah,0
156,Depresssionwins,0
157,DHBrighton,0
158,diaryanxiety,0
159,DionneJacquelyn,0
160,discxnsolate,0
161,doblasdrunk,0
162,done_with_lifee,0
163,dontcutyurself,0
164,dormuned,0
165,DP_hlp,0
166,DrChrisMcCarthy,0
167,drewnaja,0
168,Driftinggaway,0
169,DrMariaVRod,0
170,drugstelena,0
171,dweucalion,0
172,dxrkmindsz,0
173,dysthymatic,0
174,Easter_owc,0
175,EDNOS3,0
176,EldoraCletaeBli,0
177,ElianaProbets19,0
178,elisasykes_,0
179,EliseDignaeRUQ,0
180,ELLACUSPIU,0
181,Elouise_678,0
182,emanxte,0
183,emetrec,0
184,emilem140,0
185,EmmaJacob15,0
186,emmaswrn,0
187,endoffday,0
188,erneaso9794,0
189,EthanIsBroken,0
190,Eunice_316,0
191,EuniceBerglandM,0
192,EusebiaMichalO4,0
193,Every16_2,0
194,Evita_3284,0
195,exorczamus,0
196,f0rever_trapped,0
197,faked_smilezzz,0
198,fatehahf74,0
199,favcarabutera,0
200,favoumike,0
201,fd5cb63ec8ee4af,0
202,FeardorDostoevs,0
203,feelinganxious1,0
204,feelinglouve,0
205,feelingwar,0
206,Felisa_jtjm,0
207,fitzpleasurre,0
208,FlFTHWALKING,0
209,flintfranceschi,0
210,followfreesad,0
211,FortheAngelaD03,0
212,Francie_White,0
213,francoisah082,0
214,FredrickaElenor,0
215,fromthe_start,0
216,Fuckedup_matt,0
217,Fuckedupboy,0
218,funeralbound,0
219,fxcknormality_,0
220,GaleAlesian4DF,0
221,garotaanonima00,0
222,georgia_pigott,0
223,GerthaElworthyC,0
224,getweirdlevi,0
225,GiuseppinaArlet,0
226,GladisTabithaFf,0
227,GoodbyeAnorexia,0
228,gotsoemoIfell,0
229,grv2003,0
230,gtijou,0
231,Gudrun_416,0
232,guideandhelp,0
233,GypoX,0
234,hate_me_life,0
235,heartshapebruse,0
236,heartslastbeat,0
237,helping_your,0
238,helpline_mumbai,0
