,9033196,0
11904,Trinmalik,100
11905,Tylene_Wright,100
11906,ugly_worthless,100
11907,Vago_Zombie,100
11908,VeronicaGrijalv,100
11909,WASPnetwork,100
11910,Wordswecantsay,100
11911,YouDontMe1,100
11912,_satanxo,101
11913,_Tom_Edwards_,101
11914,4everaloneX3,101
11915,5sauce_canada,101
11916,abby_cotton,101
11917,Alexjb31,101
11918,AnxietyAustin,101
11919,Anxtattack,101
11920,BeGoneSoon,101
11921,bonesheroin,101
11922,boycalledjuju,101
11923,carelesspursuit,101
11924,checkthe_thighs,101
11925,CollyP15,101
11926,cut_too_deep_,101
11927,deadgirlox,101
11928,Deprifun,101
11929,deprssed0_0,101
11930,ellenarmoor,101
11931,equally_human_,101
11932,FatimaRoudani,101
11933,FloriKaps,101
11934,FokiNorma,101
11935,ForeverASadGirl,101
11936,helpdepressionc,101
11937,helpme_Imbroken,101
11938,howtoanxiety,101
11939,igotthatsadness,101
11940,innocen23,101
11941,ittybitty2016,101
11942,jbarthnesbitt,101
11943,larrycum34,101
11944,LMPoingdestre,101
11945,londanmarathon,101
11946,lonely_lifee,101
11947,Lost_and_alone3,101
11948,Lost_Girl123,101
11949,marisasherry,101
11950,MsLetran,101
11951,refusaltoengage,101
11952,RobbieJordanRed,101
11953,sadsoulclub,101
11954,ScarsSkinBones,101
11955,selfharmjpg,101
11956,stelianasto,101
11957,Suicidegirllll,101
11958,themoonloverrr,101
11959,timetobehonest_,101
11960,yxurfave,101
11961,_skinnyfeeling,102
11962,_YouMatterToME,102
11963,24misunderstood,102
11964,Amadying,102
11965,Ana_Anonymous_,102
11966,angelof71951788,102
11967,anon9898,102
11968,ArtQuibo,102
11969,AWorldOfGrey,102
11970,BeSkinnyplease,102
11971,BitchesCryToo,102
11972,Contino_Anna,102
11973,Dihan59784247,102
11974,DTeen69,102
11975,emoangel1223,102
11976,fatfatfat_,102
11977,fightinganxiety,102
11978,fooddisrupted,102
11979,HajdarPs3Pro,102
11980,He_broke_her,102
11981,headuplove,102
11982,HelenFletcher76,102
11983,helpsuicide1,102
11984,HoneysuckleMuse,102
11985,jlouleo,102
11986,joshpoley,102
11987,kenyaandnile,102
11988,LonelyNormal,102
11989,love_noschool,102
11990,myillness101,102
11991,NobodyWorthless,102
11992,plskillme1,102
11993,recoveryoh,102
11994,recoverysad_,102
11995,ricka_t,102
11996,roseofengland_,102
11997,royalrebel_1,102
11998,SA_Scotland,102
11999,sarahrb4,102
12000,Skinnygirlslife,102
12001,skinnyth0ughts_,102
12002,star_ving_me,102
12003,t_whitegurl,102
12004,takethepain_,102
12005,the_edit_alter,102
12006,TheUnknownWatt,102
12007,ugIy_jpg,102
12008,uncontrollablx,102
12009,urbeauty_love,102
12010,urghwhyme,102
12011,worthlivingnow,102
12012,xoNowGonexo,102
12013,YouthMotivating,102
12014,_mistakelol,103
12015,4pparently,103
12016,aBipolarMess,103
12017,akanechan400,103
12018,aloneegirrll,103
12019,bonnie_lipton,103
12020,br0kenbr1de,103
12021,BrokenxxoDone,103
12022,cheekyflower,103
12023,crazytrouble201,103
12024,crothschiller1,103
12025,depresiondiary,103
12026,Depression_Cry,103
12027,depressionxcut,103
12028,depressng_,103
12029,disbandeddeath,103
12030,DQuetos,103
12031,e87a099bf1d14a5,103
12032,EatingDisorder0,103
12033,EllickDr,103
12034,ellspicillo,103
12035,f0reveral0ne0,103
12036,FitAndFabQueen,103
12037,fukedupyouth,103
12038,fxdingscxrs_,103
12039,helpplease65,103
12040,howeverdeep,103
12041,httphappiness,103
12042,hunger_bites_me,103
12043,I_cut_to_live,103
12044,Ignorantconfess,103
12045,Imfuckedup98,103
12046,IntegralPsych,103
12047,itsalwaysaboutu,103
12048,Just_K1ll_M3,103
12049,katie_camarillo,103
12050,lala_joy_20,103
12051,lucy_im_done,103
12052,madesuicidal,103
12053,MoodFx,103
12054,morgan_rasco,103
12055,neveralonepdx,103
12056,sarahdo59959567,103
12057,steren79,103
12058,StoryTraven,103
12059,SuchAFatShit,103
12060,suicidxlsouls,103
12061,suixidetide,103
12062,SunriseHP,103
12063,the_bipolar_one,103
12064,tjpreperato,103
12065,totaltherapyuk,103
12066,ugly_princess5,103
12067,Unique_l0ser666,103
12068,Unwanted_123,103
12069,Useless_Soul,103
12070,wallflowerNhue,103
12071,whymedepression,103
12072,xlovelaughsmile,103
12073,xnuclearminds,103
12074,__depresssed__,104
12075,_br0keninside_,104
12076,AlwaysGudEnough,104
12077,beingme1992,104
12078,binahx,104
12079,Botdfgirl101,104
12080,brxkenx_x,104
12081,ChildrenOfWar_,104
12082,ColeHeil,104
12083,Depressed_1999,104
12084,dvllmind,104
12085,dxpprxssxd,104
12086,EDawarenessWHS,104
12087,ew_fat123,104
12088,fuvkedupworld,104
12089,HaveFaithHoldOn,104
12090,help_4_parents,104
12091,hopelessnscared,104
12092,jamesfconway89,104
12093,killjoy_ct,104
12094,kozalalityro,104
12095,Letthiskillme,104
12096,loneluna717,104
12097,lonelyandinv,104
12098,Lonelykelsi,104
12099,lucidwankers,104
12100,mybattlewithocd,104
12101,MySaviorDemi_,104
12102,myselfharm4,104
12103,onemoregirlsad,104
12104,PlayinMindGames,104
12105,reyesja,104
12106,rockerboitch,104
12107,RStancell,104
12108,sadsquares,104
12109,savingYou2013,104
12110,SilentSoul666,104
12111,StayStrong1324,104
