,9033196,0
9920,vsolis84,65
9921,WristWithScars_,65
9922,yourbeautfulok,65
9923,_TheRealBeckham,66
9924,5ave_M3,66
9925,actuallyaslayer,66
9926,alone_worthless,66
9927,alyssamarie2018,66
9928,Amparo8149Thomp,66
9929,AnxietyMark,66
9930,anxietyrevealed,66
9931,AnxiousAgain,66
9932,BeStrongForUs,66
9933,bipolarcatholic,66
9934,bluebreeze876,66
9935,borderlinemummy,66
9936,breathme_FU,66
9937,brxken_spirits,66
9938,carlchandlertwd,66
9939,CDNOfTwoMinds,66
9940,Christie_AKM,66
9941,CimSanah,66
9942,cryingdying,66
9943,Cyashabangu99,66
9944,DeepCutter1012,66
9945,Demineedshelp,66
9946,depression_save,66
9947,depressionnn_,66
9948,DestroyedDeath,66
9949,DollHouseBoy,66
9950,dontjudge_love,66
9951,DrVBosson,66
9952,feelingsbye,66
9953,ForAnnaNoBanana,66
9954,Foreverherexo,66
9955,FortMorganOOTD,66
9956,FreeAndAboveNY,66
9957,fsopblog,66
9958,Go_death_girl13,66
9959,I_already_ate,66
9960,imdeadinside___,66
9961,ImproveUrBlues,66
9962,justadepression,66
9963,kenmwright,66
9964,Kukkusux,66
9965,lafosse_kayla,66
9966,LanaDiamndis,66
9967,lonely_friend3,66
9968,lonelysuicidalx,66
9969,mental_elf_mum,66
9970,MissouriEDA,66
9971,Musicsavesme8,66
9972,NoOneCaresForMe,66
9973,OkekeEmmanuel8,66
9974,Painqueen56,66
9975,porcellaiindoll,66
9976,rivercentref,66
9977,sadfxkesmiles,66
9978,scars_all_over,66
9979,scarsxbones,66
9980,selfharmbeauty,66
9981,SelfHarmer_cut,66
9982,ShaveForSuicide,66
9983,shhlittleone,66
9984,siangel0485,66
9985,stresstoanxiety,66
9986,struggling___,66
9987,suicidalgun,66
9988,suicidalmeister,66
9989,SuicidalScream,66
9990,thatfirstcut,66
9991,Tosavealife17,66
9992,UnwantedAlways,66
9993,valuable_pain,66
9994,Virtualbipolarw,66
9995,xhypothermia,66
9996,xkissingxrazors,66
9997,YokeBradley,66
9998,_dreamingcorpse,67
9999,_Help_For_You_,67
10000,2ndwndbldr,67
10001,5evasad,67
10002,A_Step_Closer,67
10003,AdverseUniverse,67
10004,aloneandbroken1,67
10005,anxietyanorexic,67
10006,badlifetho,67
10007,BeckyIsDying,67
10008,BethGreeneRPG,67
10009,bIackveiIbitch,67
10010,CAS_CCS,67
10011,crazyroi4,67
10012,DBSABrownCounty,67
10013,dead_please,67
10014,diepressed,67
10015,eiskaltehvre,67
10016,endo_strong,67
10017,fabi_carl,67
10018,fallingflawed,67
10019,fatwhale221,67
10020,fxckup_,67
10021,gray_lace,67
10022,havetobeperfect,67
10023,hey_stay_strong,67
10024,HullInstitute,67
10025,HushedScreams,67
10026,imdrowning_help,67
10027,ImNotInvisible6,67
10028,imvictimofbully,67
10029,Inspire2Evolve,67
10030,jtmarcus,67
10031,L0nelyandLost,67
10032,LackbudLackey,67
10033,little_itallyy,67
10034,Lonelygirl_123,67
10035,lost_again15,67
10036,Melanie6505John,67
10037,murderfrnk,67
10038,NiceItForward,67
10039,nikkimsilver_,67
10040,omandm_rules_01,67
10041,palexdepression,67
10042,plzbestrong,67
10043,rachelle799,67
10044,Recreateus,67
10045,sadcrystal_,67
10046,shan4958,67
10047,shh_suicidal,67
10048,SKIN_iam_IN,67
10049,SkinnyGirl246,67
10050,Stand_outt,67
10051,still_suffering,67
10052,Stronglastslong,67
10053,su1c1de_spirit,67
10054,SUICIDE_ALERT,67
10055,suicxde_,67
10056,TauntingScars,67
10057,TheBombLoser,67
10058,TheMindNurse,67
10059,wgas1221,67
10060,Worth_Nothing_,67
10061,yourworthalot_,67
10062,_shouldhavebeen,68
10063,Alex_loves_dick,68
10064,AlyssaGutokie,68
10065,Anorexic_99,68
10066,anxietycommunit,68
10067,AnxiousYou_Me,68
10068,arethon95,68
10069,bulimiakid,68
10070,c0llar_bones,68
10071,cbt_anxiety,68
10072,chubbyybonnie,68
10073,Curious_Luke,68
10074,cuts_and_smiles,68
10075,depressedboyz,68
10076,DrThacher_USP,68
10077,DurLillian,68
10078,DyingForAna12,68
10079,EvaEvapratiwi,68
10080,f0reverdy1ng,68
10081,fxckdepressedaf,68
10082,Greta5466Green,68
10083,HarrySmith212,68
10084,HighlyHostile,68
10085,ineedhelp97,68
