,9033196,0
5952,pessimisticaly,25
5953,PoopsJay,25
5954,princesspain_,25
5955,Project4_zero,25
5956,Promisemequick,25
5957,recoveringrose,25
5958,RetroJodie,25
5959,rjnathan99,25
5960,robyn_e_asbury,25
5961,RobynGray916,25
5962,SadestSouls,25
5963,secret_issues,25
5964,Secretworries,25
5965,self_harm112,25
5966,selfdestrxtion_,25
5967,shitimdepressed,25
5968,ShitSkinny,25
5969,skinnyandchill,25
5970,skinnybitch93,25
5971,sucidalxscars,25
5972,Suicidal_girl22,25
5973,suicidal2018,25
5974,suicidepreve_on,25
5975,suicisalgirl123,25
5976,TaintedDixon,25
5977,teamcactusinc,25
5978,thesaneanorexic,25
5979,thinandsad,25
5980,thylonely,25
5981,tosavealife38,25
5982,tosomblog,25
5983,ToSpeakLove,25
5984,ToStopselfharm,25
5985,TweetOfPositive,25
5986,ugly_fat_,25
5987,UMatterPHS,25
5988,versatiI,25
5989,vsadnvrad,25
5990,VTSPC,25
5991,vvordsunspoken,25
5992,wannadienow33,25
5993,worthless_gone,25
5994,worthlesslove,25
5995,x_blackxmind,25
5996,xDepresiveDevil,25
5997,ximawarriorx,25
5998,yjk__,25
5999,zerodayz,25
6000,___Anxiety___,26
6001,__sinematic__,26
6002,_succeeding_,26
6003,0utoftheDark,26
6004,13Whitcombe,26
6005,2depressed_teen,26
6006,5sosfamchatline,26
6007,acoolkid0,26
6008,aloneandscared0,26
6009,ana_depression,26
6010,Ana_lover1504,26
6011,AnxietyFree1,26
6012,atelopphxbic,26
6013,ausphd,26
6014,beatwithela,26
6015,BeStill4Now,26
6016,bigbuttskinner,26
6017,Bipolar_Project,26
6018,Blanketkiller5,26
6019,blonde_dpressed,26
6020,breakfreenow1,26
6021,britneysmith101,26
6022,bruisesjpq,26
6023,bvb_lover_3,26
6024,byecutting,26
6025,calidreamingxo,26
6026,chloele23976282,26
6027,CloudsStraight,26
6028,curemysick,26
6029,darlingdisorder,26
6030,datsuicidalteen,26
6031,deadandalive21,26
6032,DepresionTweet,26
6033,Depressed_soul7,26
6034,depressedrug,26
6035,depressionsback,26
6036,depresssssed,26
6037,depteenager_ana,26
6038,diedintheinside,26
6039,Dropdepression,26
6040,dying2bhappy,26
6041,EDIT_Bangor,26
6042,Elenaslight,26
6043,fallenTiara,26
6044,FearYourFears,26
6045,fl0werp0werr,26
6046,flyingfckk,26
6047,frxilbones,26
6048,fuckeverythin17,26
6049,h0peless_me,26
6050,haleyhashope,26
6051,HEARmeorg,26
6052,hopelessmile,26
6053,hopeoneanswer,26
6054,hopingf0rdeath,26
6055,IAmDxpressed,26
6056,ihat3mysxlf,26
6057,ilumineluke,26
6058,ImBullied,26
6059,insecureteeeen,26
6060,isabellejane4,26
6061,itsceleste68,26
6062,Jeff_Engert,26
6063,Jump_Off_ACliff,26
6064,Just_messed_up_,26
6065,just_worthless1,26
6066,justacut69,26
6067,KeepxFighting,26
6068,killstostay,26
6069,lauraxxxdruifje,26
6070,lebo89440632,26
6071,livingT0die,26
6072,lonely_carrie,26
6073,marshdepressed,26
6074,maybeapaperdoll,26
6075,mcarrollpsyd,26
6076,megan_bennett15,26
6077,MrSadStuff,26
6078,MsMcAnne,26
6079,my_last_wishes,26
6080,mysadunreality,26
6081,mysoulscreams_,26
6082,MysticLady4,26
6083,NadiaShade,26
6084,NortheastPsych,26
6085,nosuicidal,26
6086,NumbParalysis_,26
6087,optimalfamily,26
6088,pain_is_beautyy,26
6089,Pain_Stings,26
6090,PeaceMindful,26
