,9033196,0
1984,cravinglovexxx,5
1985,crestfallnstrm_,5
1986,cutterslullaby_,5
1987,cuttingedgemace,5
1988,damaged_0,5
1989,DarlingSuicidal,5
1990,dead_boy_walkin,5
1991,DeadDreamsx,5
1992,deepsouthfaith,5
1993,demon_mother,5
1994,depressed_one1,5
1995,depressedasmess,5
1996,depressedead,5
1997,depressedprobs_,5
1998,DepressedSide,5
1999,Depressedsouth,5
2000,depressionbust,5
2001,Disthymia,5
2002,doe_of,5
2003,dootsrednusiMmA,5
2004,Dpressedaf,5
2005,dprsedxsad,5
2006,drkerstinkelly,5
2007,drkhrtdteeen,5
2008,DrRickStampler,5
2009,drugzncutz,5
2010,Duhpresssed,5
2011,dvr710,5
2012,dxpresssed,5
2013,eatfreelyy,5
2014,eatingprobbs,5
2015,eatinjuryhelp,5
2016,effylovesana,5
2017,elizabethhopfen,5
2018,EmoGiirl73,5
2019,endme_suicide,5
2020,EndoftheLinee,5
2021,EndsNight,5
2022,evaweirdy69,5
2023,FAK3SMIL3s,5
2024,fakesmiles2500,5
2025,FalseMemMom,5
2026,fangirlx40,5
2027,FarahJohnson2,5
2028,FatCutter21,5
2029,FCHBarrett,5
2030,fcksomeone,5
2031,fighting_feelin,5
2032,FindFreedNutrRD,5
2033,FlyAwayPeaceful,5
2034,foreverdeadxx,5
2035,fuckedsuicide,5
2036,funnymemes2468,5
2037,fuzz_walk,5
2038,ginsberggone,5
2039,gordaxnutil,5
2040,GSmugh,5
2041,haleyjacksoon,5
2042,Hanniela14,5
2043,happinessIs0,5
2044,hate_evxrything,5
2045,hate_llife,5
2046,hayleyjanemason,5
2047,Headxche,5
2048,HealingHalley,5
2049,HeavenIsMyAim,5
2050,helping_always6,5
2051,heyperrieangeI,5
2052,HidingHunger,5
2053,hopewith_love,5
2054,Httpscrybabyy,5
2055,hurting123,5
2056,HurtXoxo,5
2057,HypoDocTvSeries,5
2058,ifurproudofSM,5
2059,ihatex,5
2060,im_not_okay11,5
2061,imasadguy,5
2062,ImImdead,5
2063,ImInTheWaySorry,5
2064,imjusta_girl,5
2065,imnothappy__,5
2066,imtryingto_help,5
2067,Imxneverxfine,5
2068,indyaveragegirl,5
2069,ineedhelp44,5
2070,inkedsoulssx,5
2071,itsebone,5
2072,jaketreesh02,5
2073,jameswellslcsw,5
2074,JeanJeanrhame,5
2075,JezebelsPicks,5
2076,JustM2955,5
2077,justwatchthis,5
2078,jvapps,5
2079,kailiyn,5
2080,keepFighting_kf,5
2081,keepfightingbb,5
2082,KeephoIdingonx,5
2083,KeepOnFighting_,5
2084,kidruahl23,5
2085,lakshmana_dxyx,5
2086,Lepetitchatblan,5
2087,Lexiismyname343,5
2088,lifeproblems39,5
2089,Livingbutimdead,5
2090,livylemon,5
2091,lollife16,5
2092,lonelyxsad,5
2093,lostandbroken12,5
2094,LoveYourBodyNJ,5
2095,LungsSmokers,5
2096,maddys_my_name,5
2097,mainxcuts,5
2098,make_me_thinner,5
2099,MaleSuicide,5
2100,midnightnotess,5
2101,MidwestDepressd,5
2102,Mikloshhhh,5
2103,MiltonStands,5
2104,mindfxxck,5
2105,misuborashidesu,5
2106,mklucier,5
2107,mystruggle__,5
2108,naomiclarke__,5
2109,Nathan11Barnes,5
2110,NCSHappy,5
2111,NEnough13,5
2112,never_alone26,5
2113,never_lived_,5
2114,NLMatheny,5
2115,nopenver,5
2116,obviouslyanon1,5
2117,oceanofocd,5
2118,OwDepression,5
2119,Pam_stopsuicide,5
2120,PanicNAnxiety,5
2121,pathetic_life13,5
2122,peacefullysad,5
2123,perfect_scars_x,5
2124,pewedabney,5
2125,PhuckedUpD1ary,5
2126,pIeaseheIpme,5
2127,platonichowlter,5
2128,PlzKillMeNow1,5
2129,ponglivehappen,5
2130,pretttythin_,5
2131,preventsucide15,5
2132,pro_mia_pro_ana,5
2133,psychoticscars,5
2134,pxleraven,5
2135,pydinho,5
2136,ReduceThePain,5
2137,robinschultz627,5
2138,rudranshsingh7,5
2139,sadbrokengirll,5
2140,sadcloud182,5
2141,sadconfess,5
2142,Sadd_Thoughtss,5
2143,sadlonely_girl,5
2144,sasssypsycho,5
2145,SaveBeautifuls,5
2146,scaredxsad,5
2147,scarredangel14,5
2148,schultz426,5
2149,self_hated,5
2150,self_tortured,5
2151,selfharm32,5
2152,SelfHarmer098,5
2153,SelfHarmer1998,5
2154,sethersrobare,5
2155,Sharikalt7wMast,5
2156,skinnydreams456,5
2157,Skip2060,5
2158,starving2Bme,5
2159,stayinghappyx,5
2160,staystrong625,5
2161,Staystrong905,5
2162,stopdepression0,5
2163,stopNosuicide,5
2164,stopthestigmaUT,5
2165,StrongerThanSH,5
2166,sucidalbxtch,5
2167,Sugariana_5h,5
2168,suicidal_razor,5
2169,Suicidaldude_x,5
2170,Suicide_89,5
2171,suicidehuman1,5
2172,SuicideKat1,5
2173,suicidesavedme,5
2174,survive_sad,5
2175,sxcietykilledme,5
2176,SydneyH52753600,5
2177,takedown_lol,5
2178,tanya_gardiner,5
2179,teen1depression,5
2180,teenage_support,5
2181,TeenEating,5
2182,TeensWhoRule,5
2183,thatgirllonwat2,5
2184,TheDepressed_co,5
2185,thedepressedon,5
2186,TheLoveProject2,5
2187,theneedtofeel,5
2188,thenibtweets,5
2189,ThePainWillStop,5
2190,ThinAddicti0n,5
2191,trippy_thcughts,5
2192,trying_to_be___,5
2193,tumblrfreakX,5
2194,TWLOHAOHIO,5
2195,undxrweight,5
2196,unicorns_drugs,5
2197,Usel3ss_Wh0r3,5
2198,veteranwithptsd,5
2199,vintagebxnes,5
2200,WeakWorthles,5
2201,WeAreWhoWeWant_,5
2202,WhyLosingItAll,5
2203,wishiweredead__,5
2204,wolfgirl796413,5
2205,wtfxo,5
2206,x_suicideroom_x,5
2207,xanaxsadx,5
2208,xanxietygirlx,5
2209,xbrokengirlx_,5
2210,xopinkvodka,5
2211,xunbalanced,5
