,9033196,0
13888,lostall_hope,148
13889,lovelyy_bones__,148
13890,luucsir,148
13891,MySilentPain101,148
13892,NooneAtAllCares,148
13893,OCDawareness,148
13894,OffTheShyness,148
13895,roseashley221,148
13896,sad_sosad,148
13897,Selfharmedbyyou,148
13898,strugglingwith1,148
13899,SuicidalTeens2,148
13900,tacitorn,148
13901,WISH_Clacks,148
13902,YouthInACTionSP,148
13903,beingSHB,149
13904,BoysDo1tAsw3ll,149
13905,CrimeInMind,149
13906,depressedboy287,149
13907,dying_softly,149
13908,dyinginside28,149
13909,Iam_ninaarossy,149
13910,inthelifeofvic,149
13911,LCDS_TC,149
13912,LiesandBlades,149
13913,lippenIesen,149
13914,llsswbb,149
13915,LostAndFighting,149
13916,morethanangst,149
13917,nourrshafie,149
13918,onlydying,149
13919,roadtorecovered,149
13920,SilenceThisDark,149
13921,thin129,149
13922,thisrazorblade,149
13923,thrivenortheast,149
13924,walkindeadlover,149
13925,xthisisdeep,149
13926,180ANXIETY,150
13927,AFSP_Simone,150
13928,BeAntiBullying,150
13929,Confused_chloe,150
13930,demezoguzim,150
13931,hateitlife,150
13932,helpfulhints101,150
13933,ibrokemyself,150
13934,im_worthlesss,150
13935,jaffa_cake3,150
13936,Just1FuckUp,150
13937,KamuiValery,150
13938,lysergamides,150
13939,MelancholyScars,150
13940,mollinator222,150
13941,NatzBraun,150
13942,peachydxll,150
13943,ProMia_Girl,150
13944,RecoveryIsHard,150
13945,s0_sus,150
13946,sadlolzies,150
13947,sadnessinmysoul,150
13948,selfharm_2,150
13949,standageas,150
13950,ubcmood,150
13951,unidentifiedsad,150
13952,URL0ved,150
13953,zombievampier8,150
13954,_perfect_you_,151
13955,_staystronggx,151
13956,1111_summer,151
13957,22NoMore,151
13958,971_6695,151
13959,alex_vents,151
13960,ana_obsession16,151
13961,aniexdepress,151
13962,darksoulxsh,151
13963,emptypsychotic,151
13964,Followmywalk,151
13965,huesofme,151
13966,JamiKatelynOsbo,151
13967,Joe_Paul_91,151
13968,KateEllis2,151
13969,LeaveThisWorldx,151
13970,maguifiona,151
13971,moodstudy,151
13972,omgbixch,151
13973,panic_nomore,151
13974,RestlessLegsUK,151
13975,sad_mofo,151
13976,sadangel921,151
13977,scarrednbr0ken,151
13978,selfharm_is_bad,151
13979,shrinkingGirls,151
13980,Skywards_Sword,151
13981,SummerL0veHarry,151
13982,WordsAreLoud,151
13983,AngelishM,152
13984,b3llab0nes,152
13985,BrigitPeacock,152
13986,cigarettejoy,152
13987,clearlybones,152
13988,depresseducklin,152
13989,dontgiveup96,152
13990,EDBoyYorks1,152
13991,helpimaliv3,152
13992,HoldOnToLIfeAUS,152
13993,iamhannah01,152
13994,JustUglyMe_,152
13995,JWgriesel,152
13996,loser_suicidal,152
13997,lostghostchild,152
13998,lujain_alzhrani,152
13999,NortonTracylou,152
14000,obsidiankrystal,152
14001,Onlythelonelyts,152
14002,pierce_skullBVB,152
14003,restorehypno,152
14004,sarahgilstrap,152
14005,St4rt_Again,152
14006,StayingSad,152
14007,suicidagirl0,152
14008,suicidalxbroken,152
14009,SuicideFat2,152
14010,toxicwbu,152
14011,underthehopeles,152
14012,WhoEvenAmmmI,152
14013,wsjulz,152
14014,be_thin_always,153
14015,Deadandlost2,153
14016,DeprsLife,153
14017,End_Bullying987,153
14018,ESSSB14,153
14019,gliponeo07,153
14020,healeatdisorder,153
14021,hopeonhand,153
14022,ibrahimakcy,153
14023,JeefreyWoods,153
14024,Jo_AnneSmith,153
14025,justfriends_not,153
14026,KatMilky,153
14027,KevinReeseTRV,153
14028,KnightValkyrie,153
14029,letsgetagrip,153
14030,lmaololhah,153
14031,LostandAlone5,153
14032,narcpath,153
14033,notonlygirls,153
14034,obssessive_mex,153
14035,PicksQuotes,153
14036,Pookadoo121,153
14037,privatesi,153
14038,sad_worthless,153
14039,SaraDikke,153
14040,skinny_death_,153
14041,suicidegirll_,153
14042,suicidemindfrea,153
14043,takepainkillers,153
14044,Vazinator_,153
14045,AfspDonna,154
14046,BorderlineScars,154
14047,BornFailure_,154
14048,brokXn_pieces,154
14049,depressed6975,154
14050,EatingMatters_,154
14051,everydayanthems,154
14052,Fat_uglybitch,154
14053,finnickisntdead,154
14054,HelpMeImGone,154
14055,Kellictor,154
14056,Liquorlipsz,154
14057,LondonGirl_10,154
14058,LoriandkidsLori,154
14059,moodyjews,154
14060,mukehmuings,154
14061,padopatkic,154
14062,pandanesa0u0,154
14063,presstodestress,154
14064,sad_gurl712,154
14065,saddsigh,154
14066,Sadgirlprobz_,154
14067,selfharmer1996,154
14068,suicidalgxrls,154
14069,Thinderellax,154
14070,Uglylittleloner,154
14071,wontgetbetter,154
14072,xlifeshardx,154
14073,yacansitwithus,154
14074,_shattered98,155
14075,211LIFELINE,155
14076,2218e23869854c6,155
14077,A_curly_mind,155
14078,alivevibess,155
14079,AloneSoAlone,155
14080,angryfatgirl,155
