,9033196,0
3968,corasciv,13
3969,Creative__Mess,13
3970,cruelmccan,13
3971,CSPACSC,13
3972,cut_cut_cutter2,13
3973,dead__aready,13
3974,DearMatthew_,13
3975,deeplittlescars,13
3976,Demisavedus119,13
3977,depresed_quote,13
3978,depressedtay,13
3979,DepressedTn,13
3980,DepressForums,13
3981,Depression8844,13
3982,depressiongir10,13
3983,depresssionwonn,13
3984,dis4depression,13
3985,dontcanyounot,13
3986,dontusepcdthx,13
3987,doomedirtbag,13
3988,DoveMedDiabetes,13
3989,DunneCarnesyzy,13
3990,elmores_anxiety,13
3991,EmotionalPortal,13
3992,eternalshadowz,13
3993,ETSdepression,13
3994,faith_strength_,13
3995,fatso_mia,13
3996,feelyainmyveins,13
3997,Fight_the_Frigh,13
3998,FightinmyFavor,13
3999,Fxckmylxfee,13
4000,GhostsWind,13
4001,GraceGWPG,13
4002,grupinholegal,13
4003,helpingyou4ever,13
4004,hopeless_hell,13
4005,hopelesslydazed,13
4006,Hurtalways,13
4007,icantlive4,13
4008,Icarezz_4you,13
4009,idkksad_,13
4010,IHateBeingSad,13
4011,Ill_never_be_ok,13
4012,Im_a_freak_96,13
4013,imjustsadok,13
4014,imjusttiredtbh,13
4015,ingridtrondsen,13
4016,Insecurefatass,13
4017,it_wont_help,13
4018,jaimyikke1,13
4019,jonoah2014,13
4020,JustANobodyyx,13
4021,justcallmefat,13
4022,kill_me_sasha,13
4023,killer_anxiety,13
4024,laurianaj,13
4025,leashtheBD,13
4026,LifelineAW,13
4027,lifeofsadnesss,13
4028,littleshydino,13
4029,lon3lyfor3ver,13
4030,Lovley_suicide,13
4031,M3troGnome,13
4032,marietha1233zbk,13
4033,MDepressd,13
4034,mentalhorselife,13
4035,miasbitch_,13
4036,MirzaNashriq,13
4037,modexndfashion,13
4038,MontgomeryJesse,13
4039,mxndfxcked,13
4040,mydemonslaugh,13
4041,MyMisophonia,13
4042,MyscarsMybeauty,13
4043,n0lifeisolated,13
4044,n0silverl1ning,13
4045,NatzJacqueline,13
4046,neveralone_0813,13
4047,neverkillurself,13
4048,nobodycaresfml,13
4049,nosuicide__,13
4050,NoSuicide14,13
4051,not_myself_rn,13
4052,nowthiskid,13
4053,OBeastSix66,13
4054,PensiveQuotess,13
4055,pessimisticpg,13
4056,Phantomawesome1,13
4057,pleaseskinnier,13
4058,positivelysara,13
4059,PrincessLukeyx,13
4060,R0Rixo,13
4061,RareLoves,13
4062,ReadMyBioPllzs,13
4063,renovatusbycpe,13
4064,RSD_CRPS,13
4065,s0cialoutc4st_,13
4066,saddteenagers,13
4067,sadIilplant,13
4068,sadnlonelysh,13
4069,SAGCglasgow,13
4070,scared_sad,13
4071,secondstosnap,13
4072,self__destruct,13
4073,shareyourlifex,13
4074,siIent_hell,13
4075,silentjourneys,13
4076,silently_dieing,13
4077,Simply_nothing,13
4078,ssadsoulx,13
4079,starielle9,13
4080,starsprinkless,13
4081,StopSuicide143,13
4082,strangewordlife,13
4083,Suicidal_teens1,13
4084,suicidxhs,13
4085,sxdheart,13
4086,teensupport1,13
4087,TheAnxietyBlog,13
4088,TheAnxiousWorld,13
4089,ThereIsHopeForU,13
4090,TheScarsInside,13
4091,ThisCutterGirl,13
4092,thoughtdelicate,13
4093,tiffanie_b2,13
4094,timewarpx,13
4095,tiwcll,13
4096,trxppsadness,13
4097,TwitchyTicky,13
4098,twitgubbins,13
4099,unhappy_s0uls,13
4100,UnluckyAndSad,13
4101,urfkebbz,13
4102,vanessavm4180,13
4103,w0rthlessb0y,13
4104,Want_txDie,13
4105,wantingskinny14,13
4106,WeakSouls,13
4107,WeCanStayUp,13
4108,whateverthem,13
4109,WolfChristy3,13
4110,worthless_68,13
4111,Worthless_Gurl,13
4112,___paleprincess,14
4113,__teenrunaway,14
4114,__useless___,14
4115,_cutthepainaway,14
4116,_depressed_mess,14
4117,_KeepingUpWith,14
4118,2EyesFor1Lie,14
4119,Adanmunoz85Adan,14
4120,adeadsoulspirit,14
4121,Aegle_Empath,14
4122,aliceson_,14
4123,AlleviaHealth,14
4124,allykay17,14
4125,alwaysdepressin,14
4126,alyssaaa231,14
4127,ana_princess_,14
4128,Anamiamad,14
4129,Anas_SlaveX,14
4130,Anasky__,14
4131,anawillloveme,14
4132,AndreaV77223098,14
4133,anxiety_gifs,14
4134,anxietyfix,14
4135,apafford37,14
4136,awkwardsingle,14
4137,beat_the_binge,14
4138,blackkk_blooddd,14
4139,briannachao,14
4140,calums_butthole,14
4141,Ch3yNick,14
4142,ChaparroBrianna,14
4143,confess_to_jess,14
4144,confused_cutter,14
4145,Crowfoot22,14
4146,cuc_hr,14
4147,CulverLeann,14
4148,CutAndStarveAna,14
4149,CutParadise,14
4150,cuttinghowell,14
4151,cxalyssacx,14
4152,DeepThought878,14
4153,dejectedteen,14
4154,depress52947369,14
4155,depressed1318,14
4156,Depressedgurl69,14
4157,DepressedLDSWom,14
4158,depressedteen93,14
4159,DepressionMaybe,14
4160,DepressionWars,14
4161,Does_Life,14
4162,DSelfHarmer,14
4163,dyingtokillme,14
4164,emotheralang,14
4165,emptys0ul,14
4166,Esme_bruh,14
4167,EunoiaxMinded,14
4168,EveryoneHasScar,14
4169,fallingthroughh,14
4170,fattyself,14
4171,findmeinmygrave,14
4172,fromanxiety,14
4173,fuckinmesseup,14
4174,fvankoughnett69,14
4175,GADay_Mate,14
4176,GAPTA_CSF,14
4177,gaveuponmyself,14
4178,GenrePaper,14
4179,getmeoutx,14
4180,GirlAnnas,14
4181,gofckurself_,14
4182,gone_suicidal,14
4183,grumpyxkitty,14
4184,HardOldLife,14
4185,hatemyself6,14
4186,her_secrets_,14
4187,hewillfind_you,14
4188,hidra_x,14
4189,HollowTheBook,14
4190,hopeandhelp1,14
4191,httpsadgrunge,14
4192,I_hate_ms3lf,14
4193,idekanymoreok,14
4194,ihatelife_2001,14
4195,InHomeScreening,14
4196,ismiletoomuch_,14
4197,IWontAllowIt,14
4198,ixneedxaxhug,14
4199,jazzmin_lush,14
4200,JenniHasenstaub,14
4201,joy_sousz,14
4202,jukisborderline,14
4203,just0nlyadr3am,14
4204,Kendell_Jmac,14
4205,kiara_tanisha,14
4206,kimmy_rocio,14
4207,KLafertt,14
4208,kofytugydeq,14
4209,lessfuckedup,14
4210,lilacbleach,14
4211,LiLaLoRi2893,14
4212,Lonely_nightxo,14
4213,lxvejimmy,14
4214,MaryMor73668181,14
4215,matter_meaning,14
4216,mhealthsupport,14
4217,miapeacock3,14
4218,Mileybngrs,14
4219,msamyc73,14
4220,muffin_jamie_ju,14
4221,MUKEEMOJI,14
4222,MusicChangesLif,14
4223,myanxiety_luke,14
4224,myanxietydiary,14
4225,MyAnxiousWorld,14
4226,myproblemsx,14
4227,mytimetogo,14
4228,NaturaxKit,14
4229,nicjam55,14
4230,ninjaluvsbands,14
4231,no2teensuicide,14
4232,notalon3,14
4233,NyTi74,14
4234,OneDiffferent,14
4235,opheliacossuary,14
4236,Paigeresilience,14
4237,painkillsme,14
4238,paperthinqueen,14
4239,ParisLullaby,14
4240,poetry_revised,14
4241,proanangel,14
4242,ProbitySurvivor,14
4243,psychoticlysane,14
4244,rawddavid,14
4245,razor_razors,14
4246,recoveringgg,14
4247,Relief4anxiety,14
4248,royaljimin,14
4249,SadActually,14
4250,sadprincesspage,14
4251,sadxdepressedx,14
4252,SadxQueen,14
4253,savemefrommeEp,14
4254,ScrewTheCapitol,14
4255,SelfHarm14Die,14
4256,SicklyPyscho,14
4257,sinfulsoul1,14
4258,SinkHoleNicole,14
4259,Skinny_Summer,14
4260,skinnycandy08,14
4261,Skinnyisqueen,14
4262,StillDreaming01,14
4263,stressedxlife,14
4264,StressofAnxiety,14
4265,stronghope1234,14
4266,strongmisery,14
4267,Suicidalteenblo,14
4268,suicideandmedia,14
4269,Suicidemyescape,14
4270,Suicidepreventt,14
4271,supbrojacky,14
4272,SupporttForAll,14
4273,SusanLiniewski1,14
4274,sxicidepls,14
4275,that_one_gurl__,14
4276,Thatfatlass,14
4277,ThatL0nelyGuy,14
4278,TheBipolarQueen,14
4279,TheMadOnes86,14
4280,thepain_canend,14
4281,theunknowngirl9,14
4282,thrivenomics,14
4283,timeforrecovery,14
4284,timetochange6,14
4285,transtrichster,14
4286,trappedin_dream,14
4287,U_arent_alone_,14
4288,ugly___cutter,14
4289,VeronicaSunset,14
4290,wanttodieeee,14
4291,westruggltogthr,14
4292,whhathefuck,14
4293,wiltinwhiterose,14
4294,wowimreallysad,14
4295,youarefIawIessx,14
4296,youaresolouis,14
4297,youwillbehapppy,14
4298,zaynskissez,14
4299,_aliceblvd_,15
4300,_deadandalive,15
4301,_fxtfxck_,15
4302,_HelpSaveALife,15
4303,_I_am_sorry_,15
4304,_someday_far_,15
4305,_teenhelpline_,15
4306,_WhatIWantToSay,15
4307,_whybother,15
4308,1612_klahdia,15
4309,1Dbronte,15
4310,1Suicidalgirl,15
4311,2wardaquietmind,15
4312,AbeautifulMum,15
4313,abigailskyy,15
4314,acidbasedx,15
4315,allthesehues,15
4316,alwaysanxious_,15
4317,anasprincessxx,15
4318,anasxbutterfly,15
4319,Ann_sota_biemo,15
4320,anothersucidal_,15
4321,Anxiety_Placebo,15
4322,anxietyflower,15
4323,AnxietyHelpMe14,15
4324,AnxietyRelief1,15
4325,Ari73784811,15
4326,AssBitxh,15
4327,AvasCornerOrg,15
