,9033196,0
17855,StopBullyingggg,336
17856,wxrthlessmind,336
17857,Deadepressif_,337
17858,EndingSadness,337
17859,iamthedarknesss,337
17860,legend_of_me_,337
17861,lonelyxlies,337
17862,SadAlone4,337
17863,thirstyheart1,337
17864,Uglydreamer_,337
17865,wish2beskinny,337
17866,______INVISIBLE,338
17867,_magco2l,338
17868,ActuallySane,338
17869,coexistmovie,338
17870,consider_death,338
17871,cut_and_bruised,338
17872,Dead_and_broken,338
17873,dont_talk_t0me,338
17874,mydemxns_,338
17875,Poiizkwan,338
17876,Redwrists97,338
17877,RisingAboveIt1,338
17878,Strongmoma2466,338
17879,AboveTheLaw4Eva,339
17880,andyrainbowchic,339
17881,Barelyholding15,339
17882,BeforeWeFall1,339
17883,BlackWaltzNo2,339
17884,DepresionQuotes,339
17885,DrJoelHaber,339
17886,FinnickTops,339
17887,horanatm,339
17888,Itsnothayden,339
17889,JackieWMa,339
17890,lifeindifferent,339
17891,meanjngless,339
17892,rickky7916krr,339
17893,StoppCuttingg,339
17894,sweet_s3renity,339
17895,teen_with_Faith,339
17896,arianatoshiba,340
17897,Becky_goneaway,340
17898,cdaniel1976,340
17899,daniellen1223,340
17900,FaaaakKk,340
17901,Fattie_Dani17,340
17902,Footstep530,340
17903,ICutToNumbPain,340
17904,Im_brokennn,340
17905,Miss_Worthless,340
17906,MyaAlvarez5,340
17907,PlahnGroup,340
17908,VSL_UK,340
17909,whyaminotdead,340
17910,and_depression,341
17911,drowingdeep,341
17912,GmailBrydie,341
17913,ItsGenetixXx,341
17914,Lil_Ruby_Fittie,341
17915,MiaMisunderstod,341
17916,thegirlwhohurts,341
17917,TheRecoveryBoat,341
17918,ALLCAPSSHIT,342
17919,bladecalledlust,342
17920,calmscapeyogi,342
17921,Diepeanuts,342
17922,DLynnAustin36,342
17923,EsteemedCHICs,342
17924,idhjpx,342
17925,JacobFields5,342
17926,Jenny_Pewsey,342
17927,justMoon_,342
17928,NLOanxiety,342
17929,StayStrong_3,342
17930,suicidxlmonster,342
17931,Tangledintime,342
17932,Wish4bones,342
17933,xhiddentearsx,342
17934,_rachelevans,343
17935,AshwynnLemons,343
17936,BandWLove,343
17937,blackwh0le,343
17938,Dark_Chastity,343
17939,MandyBoyce1,343
17940,nofoodnotears,343
17941,NomNomHelp,343
17942,RebaLouise94,343
17943,ShirakiMikka,343
17944,skinnydream3,343
17945,suicidalRusher,343
17946,that1_lost_girl,343
17947,typicxldisaster,343
17948,angelxdick,344
17949,betrayedteens,344
17950,FinneganMae,344
17951,igiveuppfft,344
17952,imdeadnow26,344
17953,JJAmberGrace,344
17954,LaughLiveSkinny,344
17955,lethenumberdown,344
17956,LifesBumpyRoads,344
17957,NisaRazani,344
17958,Not_AloneHQ,344
17959,positivelife123,344
17960,RockRollWithMe,344
17961,skinnyme_17,344
17962,starvepurge_cut,344
17963,TH3L0STB0Y,344
17964,WalkingDeadIGE,344
17965,1anxiouscyclist,345
17966,adelec23,345
17967,ashtoastearwin,345
17968,carlyoshan,345
17969,cesultra,345
17970,Destr0yingalice,345
17971,keke_lekhu,345
17972,MaddelineMooney,345
17973,mgmbipolar,345
17974,mybxbygirl,345
17975,RuleOfThreeFilm,345
17976,Secret_Tay,345
17977,selfharmpuppet,345
17978,theotherdarkme,345
17979,TheUnbrokenOnes,345
17980,_U_N_L_O_V_E_D_,346
17981,CarlosEBK,346
17982,ciannawalshh,346
17983,demonwork666,346
17984,dxgrading,346
17985,EmaniGordon,346
17986,ICorruptedMinds,346
17987,MamaMia1994,346
17988,meandfat,346
17989,mutaznoi1094,346
17990,vik_jk,346
17991,youre_a_psycho,346
17992,AndyIsACxnt,347
17993,blxxmxngflowers,347
17994,fadedyouthh,347
17995,fatfeathers_,347
17996,FeeDizzy,347
17997,liferuining101,347
17998,pixies_wish,347
17999,StrIvingskIInny,347
18000,Survive_Suicide,347
18001,1D_E3_5SOSLuv,348
18002,anawishes_,348
18003,bexomingdeath,348
18004,BezrukovLuke,348
18005,BrokenWhings,348
18006,frostedlilxcs,348
18007,invisible_doc,348
18008,MelinaGeorgy,348
18009,MissPendragon02,348
18010,psyinnovations,348
18011,RaisingCompKids,348
18012,silentfearx,348
18013,twentyone_tyler,348
18014,wsuicidalgirlw,348
18015,wvnderings0ul,348
18016,xlermanslove,348
18017,AFSPwalkFV,349
18018,ChefHazel818,349
18019,demons_win,349
18020,DropAlexisDead,349
18021,empty_diaries,349
18022,FaustusDemon,349
18023,Howdoesthinfeel,349
18024,keeph0lding0n__,349
18025,templeeyu9625,349
18026,_So_Alone,350
18027,alonely_broken,350
18028,boldlybroken,350
18029,CherriDeverill,350
18030,CompassNewYork,350
18031,dana_lydia,350
18032,debkillsme,350
18033,james465kennedy,350
